id,ext,agr,con,ner,open,about,activities,books,city,followers_count,friends_count,groups,interests,is_closed,movies,music,quotes,relation,sex,status,tv,video_count,wall_count
454948327,0.7,0.93,0.57,0.7,0.77,0,0,0,0,1.0,13.0,14,0,0,0,0,0,0.0,1,0,0,0.0,4.0
370559900,0.77,0.73,0.73,0.7,0.67,0,0,0,668,18.0,82.0,351,0,0,0,0,0,6.0,1,75,0,7.0,88.0
549511970,0.73,0.77,0.67,0.77,0.9,0,0,0,1722,3.0,69.0,56,0,0,0,0,0,0.0,1,6,0,0.0,36.0
473884526,0.7,0.8,0.5,0.73,0.8,0,0,0,0,2.0,36.0,124,0,0,0,0,0,0.0,2,5,0,27.0,9.0
540857456,0.47,0.73,0.57,0.83,0.77,0,0,0,60,0.0,0.0,0,0,1,0,0,0,0.0,1,3,0,0.0,0.0
262106408,0.6,0.77,0.73,0.83,0.53,0,0,0,0,30.0,100.0,56,0,0,0,0,0,2.0,1,14,0,13.0,7.0
441814216,0.73,0.6,0.7,0.83,0.73,0,0,0,97,146.0,40.0,110,0,0,0,0,0,6.0,1,0,0,17.0,30.0
425918252,0.77,0.7,0.8,0.8,0.8,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,40,0,0.0,0.0
106940091,0.63,0.8,0.7,0.57,0.8,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,5,0,0.0,0.0
567405051,0.43,0.8,0.47,0.6,0.6,0,0,0,1998,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
217474453,0.8,0.97,0.8,0.77,0.87,0,0,0,0,117.0,292.0,391,0,0,0,0,0,0.0,2,0,0,263.0,852.0
369928641,0.5,0.67,0.6,0.83,0.77,0,0,0,14829,1107.0,22.0,52,0,0,0,0,0,0.0,1,1,0,77.0,0.0
540220561,0.77,0.73,0.73,0.63,0.8,0,0,0,85,73.0,116.0,187,1,0,0,0,0,0.0,2,2,0,416.0,4.0
301776924,0.5,0.63,0.83,0.4,0.43,0,0,0,0,7.0,79.0,85,0,0,0,0,0,0.0,2,6,0,7.0,232.0
415995461,0.77,0.73,0.7,0.7,0.53,0,0,0,88,53.0,130.0,148,0,0,0,0,0,0.0,2,0,0,16.0,0.0
497997372,0.7,0.7,0.63,0.73,0.77,0,0,0,123,10.0,22.0,1,0,0,0,0,0,0.0,2,15,0,0.0,3.0
558931930,0.4,0.47,0.4,0.4,0.47,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,47,0,0.0,0.0
2254227,0.5,0.8,0.87,0.47,0.73,0,1,1,2,8.0,33.0,8,1,0,0,0,27,4.0,2,0,0,3.0,10.0
226846823,0.5,0.57,0.87,0.6,0.77,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0.0,2,0,0,0.0,0.0
522585728,1.0,0.77,0.87,0.67,0.97,0,0,0,2404,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
562370158,0.67,0.67,0.47,0.67,0.77,0,0,0,0,0.0,10.0,19,0,0,0,0,0,8.0,2,16,0,0.0,3.0
182528183,0.73,0.77,0.7,0.43,0.7,0,0,0,1,0.0,0.0,0,0,1,0,0,0,0.0,2,0,0,0.0,0.0
306215564,0.8,0.5,0.57,0.73,0.83,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,3,0,0.0,0.0
493954050,0.77,0.83,0.73,0.83,0.97,0,0,0,2943,0.0,33.0,27,0,0,0,0,0,0.0,2,0,0,1.0,10.0
501958894,0.67,0.77,0.67,0.87,0.77,0,0,0,55,67.0,49.0,39,0,0,0,0,0,0.0,2,0,0,99.0,1.0
441699931,0.63,0.63,0.63,0.8,0.73,0,0,0,0,230.0,45.0,1565,0,0,0,0,0,0.0,1,0,0,122.0,11.0
535157275,0.37,0.77,0.6,0.53,0.83,0,0,0,177,1.0,20.0,18,0,0,0,0,0,0.0,2,8,0,1.0,15.0
563224779,0.7,0.87,0.8,0.6,0.97,0,0,0,4599,0.0,0.0,0,0,1,0,0,0,0.0,1,23,0,0.0,0.0
151385084,0.73,0.87,0.77,0.7,0.6,0,0,0,3667,223.0,363.0,269,0,0,0,0,0,0.0,1,18,0,478.0,52.0
523147761,0.83,0.63,0.83,0.73,0.73,0,0,0,104,10.0,55.0,32,0,0,0,0,0,7.0,2,57,0,3.0,16.0
519680629,0.7,0.67,0.57,0.73,0.73,0,0,0,109,1.0,11.0,49,0,0,0,0,0,0.0,1,30,0,0.0,1.0
547246011,0.67,0.73,0.57,0.63,0.8,0,0,0,3169,6.0,43.0,73,0,0,0,0,0,0.0,1,23,0,0.0,28.0
221126789,0.2,0.2,0.2,0.2,0.23,0,0,0,0,20.0,19.0,123,0,0,0,0,0,0.0,1,5,0,112.0,447.0
325988730,0.73,0.8,0.77,0.83,0.7,0,0,0,168,0.0,0.0,0,0,1,0,0,0,0.0,2,26,0,0.0,0.0
566840099,0.83,0.77,0.7,0.83,0.73,0,0,0,97,0.0,9.0,39,0,0,0,0,0,0.0,2,0,0,0.0,39.0
555084092,0.87,0.97,0.9,0.77,0.67,0,0,0,3369,0.0,0.0,0,0,1,0,0,0,0.0,2,0,0,0.0,0.0
564067527,0.73,0.93,0.77,0.67,0.83,0,0,0,1573,6.0,16.0,47,0,0,0,0,0,0.0,2,0,0,0.0,17.0
408035489,0.63,0.63,0.77,0.73,0.7,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,2,61,0,0.0,0.0
451006944,0.7,0.73,0.67,0.73,0.83,0,0,0,0,26.0,105.0,286,0,0,0,0,0,7.0,2,30,0,52.0,12.0
208011469,0.4,0.8,0.8,0.87,0.8,0,0,0,0,43.0,323.0,2,0,0,0,0,0,0.0,1,15,0,0.0,0.0
280667222,0.83,0.67,0.77,0.7,0.67,0,0,0,0,68.0,85.0,68,0,0,0,0,0,0.0,2,6,0,174.0,1.0
315025560,0.87,0.67,0.57,0.8,0.9,0,0,0,4644,244.0,228.0,166,0,0,0,0,0,0.0,1,25,0,17.0,20.0
